row_index,job_id,title,extracted_salary,currency,n_ranges_found,source,status
15970,JR10816,Quality Assurance Engineer,84600.0,USD,1,range,filled
15971,93269697952,Machinist,80000.0,CAD,1,range,filled
16136,JR10628,Program Manager,160000.0,USD,1,range,filled
16137,JR2026514013,Supply Chain Management Analyst,83000.0,USD,1,range,filled
16139,JR12053,Systems and Controls Engineer,71350.0,USD,1,range,filled
16231,319647,F-16 Quality Assurance Inspector,,,0,,malformed_skipped
16253,94047654160,"Senior Specialist, SATCOM Systems Engineer",,,0,,malformed_skipped
16313,322546,F-16 Quality Assurance Inspector,,,0,,malformed_skipped
16437,JR110257,Sr. Buyer,,,0,,malformed_skipped
16457,96580010336,Contracts Sr. Specialist,110000.0,USD,1,range,filled
16546,JR11318,Structural Integrity Engineer Principal,160100.0,USD,1,range,filled
